Animal ID,Length(cm),Developmental Stage,Sex,Vertebra,Region,Orientation,Spinous Process Length (mm),Right Transverse Process Length (mm),Left Transverse Process Length (mm),Average Transverse Process Length (mm),Sample #,Yield Strain,Yield Strength,Stiffness,Toughness
MSW16023,185,calf,F,Ca2,Ca1,RC,23.5,67.9,70.35,69.125,4,0.08321,24.53852,850.08805,1.020925125
MSW16023,185,calf,F,Ca2,Ca1,RC,23.5,67.9,70.35,69.125,5,0.07482,19.01632,14.85238,0.711400531
MSW16023,185,calf,F,Ca6,Ca2,RC,14.48,61.24,46.97D,61.24,1,0.08748,17.25817,316.33694,0.754872356
MSW16023,185,calf,F,Ca6,Ca2,RC,14.48,61.24,46.97D,61.24,2,0.08267,15.34565,338.13216,0.634312443
MSW16023,185,calf,F,Ca6,Ca2,RC,14.48,61.24,46.97D,61.24,3,0.07732,19.39164,423.56205,0.749680802
MSW16023,185,calf,F,Ca6,Ca2,RC,14.48,61.24,46.97D,61.24,4,0.11042,20.29667,334.4984,1.120579151
MSW16023,185,calf,F,Ca6,Ca2,RC,14.48,61.24,46.97D,61.24,5,0.13723,20.15975,312.66307,1.383261246
MEC16019,250,subadult,F,T8,T,RC,63.17,34.4,34.71,34.555,1,0.13063,17.884,205.934,1.16809346
MEC16019,250,subadult,F,T8,T,RC,63.17,34.4,34.71,34.555,2,0.05872,15.513,430.295,0.45546168
MEC16019,250,subadult,F,T8,T,RC,63.17,34.4,34.71,34.555,3,0.09859,26.765,510.142,1.319380675
MEC16019,250,subadult,F,T8,T,RC,63.17,34.4,34.71,34.555,4,,,518.51907,
MEC16019,250,subadult,F,T8,T,RC,63.17,34.4,34.71,34.555,5,0.09482,43.966,914.819,2.08442806
MEC16019,250,subadult,F,L1,L,RC,49.23,69.65,74.38,72.015,1,,,762.61507,
MEC16019,250,subadult,F,L1,L,RC,49.23,69.65,74.38,72.015,2,,,754.01579,
MEC16019,250,subadult,F,L1,L,RC,49.23,69.65,74.38,72.015,3,0.08389,17.638,364.787,0.73982591
MEC16019,250,subadult,F,L1,L,RC,49.23,69.65,74.38,72.015,4,0.11315,34.942,506.695,1.97684365
MEC16019,250,subadult,F,L1,L,RC,49.23,69.65,74.38,72.015,5,,,837.93616,
MEC16019,250,subadult,F,Ca2,Ca1,RC,34.41,105.81,112.53,109.17,1,0.07068,24.7954,613.1679,0.876269436
MEC16019,250,subadult,F,Ca2,Ca1,RC,34.41,105.81,112.53,109.17,2,0.07612,19.02208,398.0296,0.723980365
MEC16019,250,subadult,F,Ca2,Ca1,RC,34.41,105.81,112.53,109.17,3,0.10066,21.1104,335.2151,1.062486432
